,user,movie
0,3375,253
1,3375,527
2,3375,780
3,3375,1198
4,3375,3146
5,3375,3324
6,3375,3439
7,3376,290
8,3376,527
9,3376,2699
10,3376,2997
11,3377,288
12,3377,353
13,3377,377
14,3377,423
15,3377,736
16,3377,742
17,3377,880
18,3377,882
19,3377,924
20,3377,1047
21,3377,1320
22,3377,1483
23,3377,1597
24,3377,1610
25,3377,1625
26,3377,1644
27,3377,1645
28,3377,1995
29,3377,2026
30,3377,2113
31,3377,2505
32,3377,2827
33,3377,2916
34,3377,3355
35,3377,3476
36,3377,3551
37,3377,3660
38,3377,3662
39,3377,3728
40,3377,3791
41,3377,3805
42,3377,3834
43,3379,1230
44,3379,2546
45,3379,2861
46,3379,2881
47,3379,2997
48,3380,235
49,3380,346
50,3380,750
51,3380,898
52,3380,909
53,3380,910
54,3380,922
55,3380,994
56,3380,1036
57,3380,1090
58,3380,1097
59,3380,1189
60,3380,1200
61,3380,1201
62,3380,1247
63,3380,1263
64,3380,1292
65,3380,1294
66,3380,1304
67,3380,1357
68,3380,1387
69,3380,1639
70,3380,1948
71,3380,1954
72,3380,2130
73,3380,2243
74,3380,2313
75,3380,2351
76,3380,2359
77,3380,2390
78,3380,2718
79,3380,2732
80,3380,2762
81,3380,2791
82,3380,2797
83,3380,2969
84,3380,2971
85,3380,3067
86,3380,3068
87,3380,3167
88,3380,3204
89,3380,3256
90,3380,3347
91,3380,3379
92,3380,3683
93,3380,3738
94,3380,3742
95,3380,3788
96,3381,595
97,3381,2945
98,3381,3408
99,3381,3717
100,3381,3752
101,3382,339
102,3382,1042
103,3382,1210
104,3382,1485
105,3382,1580
106,3382,1641
107,3382,1777
108,3382,1784
109,3382,3052
110,3382,3253
111,3382,3408
112,3382,3450
113,3382,3484
114,3382,3555
115,3382,3825
116,3382,3861
117,3383,1090
118,3383,1196
119,3383,2000
120,3383,2181
121,3383,3174
122,3383,3408
123,3383,3801
124,3383,3811
125,3383,3873
126,3384,110
127,3384,216
128,3384,346
129,3384,412
130,3384,748
131,3384,866
132,3384,969
133,3384,1269
134,3384,1333
135,3384,1611
136,3384,1693
137,3384,1784
138,3384,2076
139,3384,2530
140,3384,2531
141,3384,2572
142,3384,2699
143,3384,2707
144,3384,2788
145,3384,2950
146,3384,3341
147,3385,780
148,3385,1387
149,3385,2413
150,3385,2529
151,3385,2530
152,3385,2531
153,3385,2533
154,3386,21
155,3386,50
156,3386,318
157,3386,348
158,3386,356
159,3386,527
160,3386,1210
161,3386,1270
162,3386,2174
163,3386,2289
164,3386,2694
165,3386,2714
166,3386,2724
167,3386,2959
168,3386,2997
169,3386,3175
170,3386,3176
171,3386,3253
172,3386,3255
173,3386,3298
174,3386,3408
175,3387,164
176,3387,296
177,3387,307
178,3387,1210
179,3387,1358
180,3387,1466
181,3387,1500
182,3387,1573
183,3387,1729
184,3387,1923
185,3387,2112
186,3387,2353
187,3387,2571
188,3387,2912
189,3387,3083
190,3388,475
191,3388,2804
192,3388,3466
193,3389,24
194,3389,32
195,3389,104
196,3389,110
197,3389,111
198,3389,160
199,3389,161
200,3389,168
201,3389,208
202,3389,223
203,3389,387
204,3389,412
205,3389,440
206,3389,442
207,3389,464
208,3389,485
209,3389,527
210,3389,546
211,3389,588
212,3389,589
213,3389,590
214,3389,692
215,3389,785
216,3389,799
217,3389,879
218,3389,904
219,3389,1032
220,3389,1078
221,3389,1080
222,3389,1193
223,3389,1213
224,3389,1214
225,3389,1237
226,3389,1277
227,3389,1291
228,3389,1310
229,3389,1320
230,3389,1333
231,3389,1345
232,3389,1359
233,3389,1372
234,3389,1375
235,3389,1376
236,3389,1587
237,3389,1597
238,3389,1653
239,3389,1663
240,3389,1682
241,3389,1748
242,3389,1754
243,3389,1845
244,3389,1866
245,3389,1917
246,3389,1961
247,3389,1962
248,3389,1972
249,3389,2011
250,3389,2020
251,3389,2064
252,3389,2080
253,3389,2085
254,3389,2105
255,3389,2253
256,3389,2288
257,3389,2340
258,3389,2369
259,3389,2393
260,3389,2406
261,3389,2422
262,3389,2429
263,3389,2430
264,3389,2490
265,3389,2540
266,3389,2599
267,3389,2640
268,3389,2641
269,3389,2683
270,3389,2701
271,3389,2733
272,3389,2750
273,3389,2762
274,3389,2827
275,3389,2872
276,3389,2901
277,3389,2915
278,3389,3018
279,3389,3082
280,3389,3098
281,3389,3108
282,3389,3113
283,3389,3360
284,3389,3398
285,3389,3412
286,3389,3439
287,3389,3471
288,3389,3499
289,3389,3505
290,3389,3698
291,3389,3701
292,3389,3705
293,3389,3706
294,3389,3758
295,3389,3763
296,3389,3809
297,3389,3868
298,3390,531
299,3390,615
300,3390,954
301,3390,978
302,3390,1131
303,3390,1172
304,3390,1193
305,3390,1196
306,3390,1207
307,3390,1208
308,3390,1211
309,3390,1247
310,3390,1264
311,3390,1300
312,3390,1537
313,3390,1704
314,3390,1952
315,3390,1958
316,3390,1959
317,3390,2739
318,3390,2925
319,3390,2932
320,3390,3093
321,3390,3334
322,3390,3451
323,3390,3787
324,3390,3871
325,3391,18
326,3391,32
327,3391,36
328,3391,297
329,3391,318
330,3391,319
331,3391,322
332,3391,467
333,3391,592
334,3391,678
335,3391,923
336,3391,924
337,3391,1060
338,3391,1111
339,3391,1197
340,3391,1198
341,3391,1203
342,3391,1231
343,3391,1285
344,3391,1297
345,3391,1302
346,3391,1310
347,3391,1484
348,3391,1682
349,3391,2080
350,3391,2102
351,3391,2285
352,3391,2329
353,3391,3088
354,3391,3129
355,3391,3174
356,3391,3271
357,3391,3480
358,3391,3527
359,3392,1196
360,3392,3078
361,3392,3146
362,3392,3148
363,3392,3324
364,3393,21
365,3393,440
366,3393,457
367,3393,541
368,3393,902
369,3393,910
370,3393,920
371,3393,976
372,3393,1035
373,3393,1073
374,3393,1092
375,3393,1097
376,3393,1206
377,3393,1210
378,3393,1220
379,3393,1221
380,3393,1230
