user,movie,rating
53,148,2.7857144
4169,148,2.7857144
5333,148,2.7857144
4387,148,2.7857144
840,148,2.7857144
216,148,2.7857144
482,148,2.7857144
752,148,2.7857144
424,148,2.7857144
970,463,2.6756756
4169,463,2.6756756
26,463,2.6756756
319,463,2.6756756
202,463,2.6756756
721,463,2.6756756
331,463,2.6756756
524,463,2.6756756
1962,463,2.6756756
934,463,2.6756756
1088,471,3.6091475
392,471,3.6091475
516,471,3.6091475
1265,471,3.6091475
4186,471,3.6091475
588,471,3.6091475
78,471,3.6091475
796,471,3.6091475
1500,471,3.6091475
4958,471,3.6091475
1243,471,3.6091475
406,471,3.6091475
587,471,3.6091475
26,471,3.6091475
743,471,3.6091475
2168,471,3.6091475
409,471,3.6091475
5333,471,3.6091475
2127,471,3.6091475
319,471,3.6091475
157,471,3.6091475
232,471,3.6091475
539,471,3.6091475
1505,471,3.6091475
1425,471,3.6091475
132,471,3.6091475
386,471,3.6091475
146,471,3.6091475
1491,471,3.6091475
3648,471,3.6091475
631,471,3.6091475
442,471,3.6091475
1952,471,3.6091475
1242,471,3.6091475
839,471,3.6091475
2880,471,3.6091475
692,471,3.6091475
402,471,3.6091475
415,471,3.6091475
2627,471,3.6091475
425,471,3.6091475
1530,471,3.6091475
3285,471,3.6091475
4478,471,3.6091475
5874,471,3.6091475
2841,471,3.6091475
3401,471,3.6091475
461,471,3.6091475
462,471,3.6091475
4809,471,3.6091475
2926,471,3.6091475
1211,471,3.6091475
175,471,3.6091475
1698,471,3.6091475
2271,471,3.6091475
721,471,3.6091475
1386,471,3.6091475
698,471,3.6091475
326,471,3.6091475
5938,471,3.6091475
981,471,3.6091475
549,471,3.6091475
2436,471,3.6091475
136,471,3.6091475
331,471,3.6091475
428,471,3.6091475
2333,471,3.6091475
3821,471,3.6091475
438,471,3.6091475
3430,471,3.6091475
533,471,3.6091475
509,471,3.6091475
293,471,3.6091475
5172,471,3.6091475
216,471,3.6091475
1447,471,3.6091475
3462,471,3.6091475
408,471,3.6091475
1897,471,3.6091475
95,471,3.6091475
482,471,3.6091475
2453,471,3.6091475
528,471,3.6091475
214,471,3.6091475
550,471,3.6091475
1079,471,3.6091475
352,471,3.6091475
752,471,3.6091475
90,471,3.6091475
371,471,3.6091475
151,471,3.6091475
433,471,3.6091475
1383,471,3.6091475
478,471,3.6091475
1842,471,3.6091475
58,471,3.6091475
369,471,3.6091475
541,471,3.6091475
1228,471,3.6091475
424,471,3.6091475
454,471,3.6091475
1448,471,3.6091475
242,471,3.6091475
1983,471,3.6091475
566,471,3.6091475
149,471,3.6091475
294,471,3.6091475
302,471,3.6091475
1202,471,3.6091475
3312,471,3.6091475
628,471,3.6091475
1584,471,3.6091475
2282,471,3.6091475
4602,471,3.6091475
934,471,3.6091475
5565,471,3.6091475
4607,471,3.6091475
187,471,3.6091475
1291,496,3.137931
1952,496,3.137931
3080,496,3.137931
1635,496,3.137931
17,496,3.137931
1698,496,3.137931
5394,496,3.137931
864,496,3.137931
4169,833,2.2631578
2015,833,2.2631578
329,833,2.2631578
3792,833,2.2631578
2168,833,2.2631578
22,833,2.2631578
1425,833,2.2631578
355,833,2.2631578
1516,833,2.2631578
770,833,2.2631578
1779,833,2.2631578
438,833,2.2631578
2077,833,2.2631578
543,833,2.2631578
1647,833,2.2631578
293,833,2.2631578
1447,833,2.2631578
2116,833,2.2631578
621,833,2.2631578
5394,833,2.2631578
242,833,2.2631578
148,1088,3.334552
1088,1088,3.334552
5156,1088,3.334552
392,1088,3.334552
3475,1088,3.334552
1265,1088,3.334552
4186,1088,3.334552
53,1088,3.334552
481,1088,3.334552
133,1088,3.334552
513,1088,3.334552
4126,1088,3.334552
1561,1088,3.334552
4517,1088,3.334552
5447,1088,3.334552
412,1088,3.334552
1752,1088,3.334552
1889,1088,3.334552
26,1088,3.334552
1875,1088,3.334552
329,1088,3.334552
223,1088,3.334552
3679,1088,3.334552
2127,1088,3.334552
601,1088,3.334552
727,1088,3.334552
346,1088,3.334552
855,1088,3.334552
5787,1088,3.334552
1505,1088,3.334552
2638,1088,3.334552
556,1088,3.334552
305,1088,3.334552
291,1088,3.334552
386,1088,3.334552
1266,1088,3.334552
146,1088,3.334552
777,1088,3.334552
4312,1088,3.334552
5539,1088,3.334552
442,1088,3.334552
348,1088,3.334552
6,1088,3.334552
86,1088,3.334552
5001,1088,3.334552
178,1088,3.334552
169,1088,3.334552
500,1088,3.334552
692,1088,3.334552
5492,1088,3.334552
2232,1088,3.334552
1029,1088,3.334552
544,1088,3.334552
1930,1088,3.334552
268,1088,3.334552
5488,1088,3.334552
92,1088,3.334552
2909,1088,3.334552
2810,1088,3.334552
2847,1088,3.334552
1194,1088,3.334552
3401,1088,3.334552
366,1088,3.334552
37,1088,3.334552
461,1088,3.334552
531,1088,3.334552
324,1088,3.334552
1164,1088,3.334552
4940,1088,3.334552
721,1088,3.334552
583,1088,3.334552
594,1088,3.334552
310,1088,3.334552
326,1088,3.334552
59,1088,3.334552
2832,1088,3.334552
136,1088,3.334552
1998,1088,3.334552
2188,1088,3.334552
331,1088,3.334552
2077,1088,3.334552
